account,name,link
@Aepasek@scholar.social,Anne Pasek,https://scholar.social/@Aepasek
@brunostrasser@mstdn.social,Bruno J. Strasser,https://mstdn.social/@brunostrasser
@Chanders@sciences.social,C.W. Anderson,https://sciences.social/@Chanders
@cbj@mastodon.social,Casper Bruun Jensen,https://mastodon.social/@cbj
@inquiline@mastodon.social,christina d'ache,https://mastodon.social/@inquiline
@ckohtala@scholar.social,Cindy Kohtala,https://scholar.social/@ckohtala
@daniel@anicelittle.network,Daniel Susser,https://anicelittle.network/@daniel
@DominicLammar@fediscience.org,Dominic Lammar,https://fediscience.org/@DominicLammar
@edsu@social.coop,Ed Summers,https://social.coop/@edsu
@EstherTurnhout@mastodon.social,Esther Turnhout,https://mastodon.social/@EstherTurnhout
@florianeyert@mastodon.social,Florian Eyert,https://mastodon.social/@florianeyert
@otsuki3c@mastodon.social,Grant Otsuki,https://mastodon.social/@otsuki3c
@i_ngli@scholar.social,Ingmar Lippert,https://scholar.social/@i_ngli
@jmnw@post.lurk.org,James M. White,https://post.lurk.org/@jmnw
@cyberlyra@mastodon.social,Janet Vertesi,https://mastodon.social/@cyberlyra
@jonathansterne@assemblag.es,Jonathan Sterne,https://assemblag.es/@jonathansterne
@jwyg@post.lurk.org,jonathan w. y. gray,https://post.lurk.org/@jwyg
@cassandreces@scholar.social,Juli Arancio,https://scholar.social/@cassandreces
@k8henne@mastodon.social,kate henne,https://mastodon.social/@k8henne
@katjamat@mastodon.social,Katja Mayer,https://mastodon.social/@katjamat
@jacomyma@mas.to,Mathieu Jacomy,https://mas.to/@jacomyma
@maxliboiron@mastodon.lol,max liboiron,https://mastodon.lol/@maxliboiron
@Miriamkp@mastodon.social,Miriam Posner,https://mastodon.social/@Miriamkp
@NoortjeMarres@mstdn.social,Noortje Marres,https://mstdn.social/@NoortjeMarres
@sabinaleonelli@mstdn.social,Sabina Leonelli,https://mstdn.social/@sabinaleonelli
@samday@climatejustice.social,Samantha Day,https://climatejustice.social/@samday
@shobitap@mastodon.social,Shobita Parthasarathy,https://mastodon.social/@shobitap
@stefanlaser@social.tchncs.de,Stefan Laser,https://social.tchncs.de/@stefanlaser
@theodorajewell@mastodon.social,Theodora Dryer,https://mastodon.social/@theodorajewell
@tneale@mastodon.social,timothy neale,https://mastodon.social/@tneale
@tscriado@mastodon.social,Tomas S. Criado,https://mastodon.social/@tscriado
@ValerminiAlba@mastodon.social,Valentina Erminia Albanese,https://mastodon.social/@ValerminiAlba
@WarrenPearce@mastodon.social,Warren Pearce,https://mastodon.social/@WarrenPearce
@scott_bot@scholar.social,Scott B. Weingart,https://scholar.social/@scott_bot
@erazlogo@assemblag.es,Elena Razlogova,https://assemblag.es/@erazlogo
@CatherineFlick@mastodon.me.uk,Catherine Flick,https://mastodon.me.uk/@CatherineFlick
@APLKadiri@mastodon.social,Aisha Kadiri,https://mastodon.social/@APLKadiri
@MichaelTBacon@social.coop,Michael T. Bacon, Ph.D.,https://social.coop/@MichaelTBacon
@gravesmatter@mastodon.social,lucas graves,https://mastodon.social/@gravesmatter
@adamquinn@mstdn.social,Adam Quinn,https://mstdn.social/@adamquinn
@bojacobs@mastodon.social,Bo Jacobs,https://mastodon.social/@bojacobs
@emilytav@indieweb.social,Emily Tavoulareas,https://indieweb.social/@EmilyTav
@haushoferl@mastodon.social,Lisa Haushofer,https://mastodon.social/@haushoferl
@juliane@hci.social,Juliane Jarke,https://hci.social/@juliane
@andrewlea@mastodon.social,Andrew Lea,https://mastodon.social/@andrewlea
@erantal@mstdn.social,Eran Tal,https://mstdn.social/@erantal
@edenmedina@mastodon.mit.edu,Eden Medina,https://mastodon.mit.edu/@edenmedina
@miker93@mastodon.social,V. M. Roberts,https://mastodon.social/@Miker93
@moneschleper@mas.to,Simone Schleper,https://mas.to/@moneschleper
@dcwalk@post.lurk.org,Dawn Walker,https://post.lurk.org/@dcwalk
@emilypawley@mastodon.social,Emily Pawley,https://mastodon.social/@emilypawley
@drfrarod@sciences.social,Francesc Rodríguez ,http://sciences.social/@drfrarod
@rolienhoyng@mastodon.social,Rolien Hoyng ,https://mastodon.social/@rolienhoyng
@sarahderijcke@akademienl.social,Sarah de Rijcke,https://akademienl.social/@sarahderijcke
@bart@akademieNL.social,Bart Penders ,http://AkademieNL.social/@bart
@drkatedevlin@mastodon.ie,Kate Devlin,https://mastodon.ie/@drkatedevlin
@jessyp@mastodon.social,Jess Perriam,https://mastodon.social/@jessyp
@sabinaleonelli@mstdn.social,Sabina Leonelli,https://mstdn.social/@sabinaleonelli
@danlammerhirt@mstdn.social,Danny Lämmerhirt,https://mstdn.social/@danlammerhirt
@colombinary.mastodon.social,Michelle Westerlaken,https://mastodon.social/@colombinary
@ananny@scholar.social,Mike Ananny,https://scholar.social/@ananny
@janap@mastodon.social,jana,https://mastodon.social/@janap
@meryl@mastodon.social,Meryl Alper,https://mastodon.social/@meryl
@Jason_Power@mastodon.social,Jason Power,https://mastodon.social/@Jason_Power
@EmmaBedorHiland@mastodon.social,Emma Bedor Hiland,https://mastodon.social/@EmmaBedorHiland
@ggrill@mastodon.social,Gabriel Grill,https://mastodon.social/@ggrill
@robertlepenies@mastodon.social,Robert Lepenies,https://mastodon.social/@robertlepenies/
@engelmal@mastodon.world,Lukas Engelmann,https://mastodon.world/web/@Engelmal
@cmhenry_@mas.to,Colin Henry,https://mas.to/@cmhenry_
@ckelty@mastodon.social,Christopher Kelty,https://mastodon.social/@ckelty
@surliertexan@witches.live,Alexis Turner,https://witches.live/@surliertexan
@vidyasubramanian@mastodon.social,Vidya Subramanian ,https://mastodon.social/@vidyasubramanian
@pdbrooker@mastodon.online,Phillip Brooker,https://mastodon.online/@pdbrooker
mina@mastodon.lol,Miriam Fahimi,https://mastodon.lol/web/@mina
@acorsin@mastodon.social,Alberto Corsín Jiménez,https://mastodon.social/@acorsin
@AbbyKinchy@mstdn.social,Abby Kinchy,https://mstdn.social/@AbbyKinchy
@kendallgiles@mastodon.coffee,Kendall Giles,https://mastodon.coffee/@kendallgiles
@steve@fediscience.org,Steve Easterbrook,https://fediscience.org/@steve
@tarleton@mastodon.social,Tarleton Gillespie,https://mastodon.social/@tarleton
davidribes@hci.social,David Ribes,https:/hci.social/@davidribes
lizrodwell@mastodon.online,Elizabeth Rodwell,https://mastodon.online/@lizrodwell
@syperng@mas.to,Sung-Yueh Perng,https://mas.to/@syperng
@moredustings@masto.ai,Aki,https://masto.ai/@moredustings
@bojacobs@hcommons.social,Bo Jacobs,https://hcommons.social/web/@bojacobs
@aileenfyfe@mastodon.scot,Aileen Fyfe,https://mastodon.scot/@aileenfyfe
@carwyn@fediscience.org,Carwyn Morris,https://fediscience.org/web/@carwyn
@auli@mastodon.social,Auli Viidalepp,https://mastodon.social/@auli
@AnjaKlein@mastodon.online,Anja Klein,https://mastodon.online/@AnjaKlein
@maehr@mastodon.social,Moritz Mähr,https://mastodon.social/@maehr
@jimiadams@sciences.social,jimi adams ,https://sciences.social/@jimiadams
@acsiszar@fediscience.org,Alex Csiszar,https://fediscience.org/@alexcsiszar
@tmvc@hcommons.social,Christo Sims,https://hcommons.social/@tmvc
@spacesilk@astrodon.social,Molly Silk,https://astrodon.social/@SpaceSilk
@alexbryant@mastodon.lol,Alex Bryant,https://mastodon.lol/@alexbryant
